iter	Passed	Remaining
0	27	19557
1	51	17993
2	73	17172
3	96	16709
4	122	16967
5	145	16782
6	169	16794
7	189	16429
8	214	16440
9	234	16202
10	257	16118
11	279	16036
12	307	16230
13	327	16066
14	352	16082
15	371	15891
16	393	15810
17	413	15682
18	437	15697
19	457	15568
20	482	15590
21	503	15504
22	525	15468
23	547	15421
24	571	15429
25	591	15337
26	613	15286
27	633	15201
28	656	15195
29	678	15150
30	701	15135
31	722	15088
32	745	15068
33	767	15037
34	790	15027
35	813	15003
36	836	14996
37	859	14964
38	881	14938
39	904	14919
40	936	15058
41	959	15025
42	981	15001
43	1002	14951
44	1025	14927
45	1045	14864
46	1068	14838
47	1088	14785
48	1111	14760
49	1130	14695
50	1153	14684
51	1175	14645
52	1198	14628
53	1218	14580
54	1241	14564
55	1262	14519
56	1285	14505
57	1306	14459
58	1329	14449
59	1351	14412
60	1375	14410
61	1397	14377
62	1420	14366
63	1441	14324
64	1466	14324
65	1487	14286
66	1509	14263
67	1530	14225
68	1555	14224
69	1577	14193
70	1600	14182
71	1621	14146
72	1644	14125
73	1665	14091
74	1688	14068
75	1709	14032
76	1732	14014
77	1753	13980
78	1777	13973
79	1799	13943
80	1821	13922
81	1843	13890
82	1866	13876
83	1888	13850
84	1910	13820
85	1931	13793
86	1955	13779
87	1977	13751
88	2001	13740
89	2021	13703
90	2044	13683
91	2066	13656
92	2088	13633
93	2110	13607
94	2133	13588
95	2161	13599
96	2184	13581
97	2205	13547
98	2228	13529
99	2249	13499
100	2273	13484
101	2295	13457
102	2318	13437
103	2339	13405
104	2361	13383
105	2384	13362
106	2406	13337
107	2428	13309
108	2448	13276
109	2472	13258
110	2492	13227
111	2515	13208
112	2535	13173
113	2558	13150
114	2579	13121
115	2601	13099
116	2622	13066
117	2645	13046
118	2666	13018
119	2691	13007
120	2715	12993
121	2739	12978
122	2764	12966
123	2789	12956
124	2813	12944
125	2838	12929
126	2858	12898
127	2882	12882
128	2904	12856
129	2927	12834
130	2947	12802
131	2971	12788
132	2994	12764
133	3017	12747
134	3041	12729
135	3065	12710
136	3087	12687
137	3111	12672
138	3133	12648
139	3160	12640
140	3181	12613
141	3206	12600
142	3228	12576
143	3253	12561
144	3275	12536
145	3299	12519
146	3320	12492
147	3345	12478
148	3376	12484
149	3454	12664
150	3485	12672
151	3512	12665
152	3535	12641
153	3561	12626
154	3583	12600
155	3609	12586
156	3634	12571
157	3660	12557
158	3683	12533
159	3708	12516
160	3731	12491
161	3757	12477
